0,103.884,41.2985
0.2,47.1263,132.543
0.4,-5.96837,132.299
0.6,-48.4115,100.857
0.8,-48.7562,52.7363
1,-45.0631,0
1.2,-23,-40
1.4,27,-64
1.6,89,-62
1.8,153,-47
2,183,-19
2.2,182,49
2.4,172,104
2.6,135,148
2.8,91,179
3,23,169
3.2,-39,141
3.4,-85,90
3.6,-107,31
3.8,-103,-34
4,-85,-94
4.2,-28,-109
4.4,23,-118
4.6,70,-91
4.8,84,-43
5,78,19
5.2,51,62
5.4,-9,77
5.6,-71,89
5.8,-119,82
6,-167,36
6.2,-207,-21
6.4,-207,-74
6.6,-167,-132
6.8,-130,-166
7,-71,-174
7.2,4,-160
7.4,41,-116
7.6,61,-57
7.8,68,8
8,39,52
8.2,9,98
8.4,-44,101
8.6,-88,77
8.8,-105,38
9,-103,-14
9.2,-83,-55
9.4,-36,-92
9.6,28,-106
9.8,88,-99
10,144,-58
10.2,172,0
10.4,196,54
10.6,179,113
10.8,136,144
11,91,167
11.2,33,167
11.4,-12,128
11.6,-36,80
11.8,-49,20
12,-27,-21
12.2,10,-61
12.4,63,-79
12.6,105,-72
12.8,132,-31
13,134,15
13.2,125,63
13.4,81,103
13.6,31,120
13.8,-40,129
14,-108,99
14.2,-142,41
14.4,-170,-14
14.6,-166,-74
14.8,-136,-127
15,-91,-152
15.2,-40,-141
15.4,5,-123
15.6,40,-79
15.8,45,-31
16,12,12
16.2,-21,61
16.4,-57,76
16.6,-112,68
16.8,-148,47
17,-167,-7
17.2,-165,-56
17.4,-135,-101
17.6,-76,-128
17.8,-22,-133
18,36,-123
18.2,95,-80
18.4,136,-24
18.6,147,46
18.8,123,91
19,84,119
19.2,38,138
19.4,0,111
19.6,-21,80
19.8,-28,37
20,-24,-8
20.2,5,-44
20.4,56,-69
20.6,102,-52
20.8,139,-46
21,175,-13
21.2,184,46
21.4,158,92
21.6,115,131
21.8,59,142
22,-5,140
22.2,-59,106
22.4,-88,52
22.6,-96,-13
22.8,-85,-62
23,-53,-93
23.2,-37,-108
23.4,3,-106
23.6,48,-82
23.8,52,-47
24,32,6
24.2,15,45
24.4,-39,70
24.6,-95,72
24.8,-138,60
25,-173,19
25.2,-183,-40
25.4,-181,-78
25.6,-151,-121
25.8,-93,-147
26,-46,-143
26.2,0,-120
26.4,39,-73
26.6,62,-24
26.8,54,29
27,32,62
27.2,2,89
27.4,-32,81
27.6,-69,58
27.8,-80,36
28,-62,-10
28.2,-48,-46
28.4,-4,-66
28.6,51,-81
28.8,111,-78
29,158,-39
29.2,170,17
29.4,179,54
29.6,157,105
29.8,121,129
30,78,136
30.2,30,127
30.4,-19,95
30.6,-41,46
30.8,-36,0
31,-18,-41
31.2,18,-71
31.4,52,-75
31.6,78,-45
31.8,100,-17
32,102,28
32.2,83,53
32.4,45,65
32.6,-14,96
32.8,-60,82
33,-111,53
33.2,-148,19
33.4,-161,-41
33.6,-147,-78
33.8,-112,-110
34,-82,-118
34.2,-50,-108
34.4,-10,-86
34.6,5,-51
34.8,3,-4
35,-15,30
35.2,-37,48
35.4,-64,68
35.6,-109,50
35.8,-138,19
36,-133,-4
36.2,-111,-56
36.4,-82,-84
36.6,-43,-86
36.8,19,-98
37,69,-79
37.2,102,-37
37.4,123,8
37.6,132,46
37.8,103,85
38,75,107
38.2,44,115
38.4,16,104
38.6,-11,66
38.8,-10,13
39,18,-25
39.2,33,-49
39.4,55,-61
39.6,108,-45
39.8,138,-31
40,149,6
40.2,148,46
40.4,121,77
40.6,85,92
40.8,30,95
41,-19,89
41.2,-47,57
41.4,-86,20
41.6,-96,-21
41.8,-78,-65
42,-62,-90
42.2,-38,-95
42.4,1,-83
42.6,22,-61
42.8,14,-20
43,8,4
43.2,-18,39
43.4,-52,61
43.6,-100,56
43.8,-134,37
44,-157,4
44.2,-163,-32
44.4,-135,-70
44.6,-113,-91
44.8,-76,-91
45,-27,-82
45.2,5,-68
45.4,34,-44
45.6,60,-3
45.8,51,47
46,31,66
46.2,14,73
46.4,-18,78
46.6,-39,45
46.8,-49,13
47,-29,2
47.2,-7,-30
47.4,27,-55
47.6,82,-61
47.8,117,-43
48,140,-20
48.2,148,10
48.4,149,41
48.6,133,76
