0,71.6708,-76.0185
0.2,163.96,33.3811
0.4,116.383,86.5413
0.6,73.6258,89.763
0.8,6.96517,55.7214
1,-62.0869,31.0435
1.2,-93,-43
1.4,-102,-127
1.6,-85,-194
1.8,-43,-266
2,10,-301
2.2,81,-298
2.4,141,-264
2.6,172,-214
2.8,175,-138
3,147,-62
3.2,93,-6
3.4,29,18
3.6,-29,26
3.8,-101,-3
4,-128,-46
4.2,-143,-84
4.4,-122,-122
4.6,-68,-134
4.8,0,-127
5,57,-82
5.2,89,-11
5.4,114,48
5.6,106,140
5.8,66,223
6,7,260
6.2,-50,273
6.4,-117,250
6.6,-162,210
6.8,-166,172
7,-149,105
7.2,-107,54
7.4,-50,24
7.6,10,23
7.8,83,50
8,108,95
8.2,116,136
8.4,109,164
8.6,62,198
8.8,4,191
9,-55,165
9.2,-94,107
9.4,-118,25
9.6,-115,-66
9.8,-74,-132
10,-31,-189
10.2,48,-220
10.4,100,-214
10.6,135,-187
10.8,158,-144
11,148,-93
11.2,114,-48
11.4,62,-34
11.6,2,-34
11.8,-49,-61
12,-90,-91
12.2,-100,-156
12.4,-95,-208
12.6,-58,-232
12.8,-4,-250
13,51,-241
13.2,90,-170
13.4,134,-103
13.6,126,-22
13.8,95,64
14,55,108
14.2,-19,145
14.4,-72,163
14.6,-130,144
14.8,-155,122
15,-147,76
15.2,-123,30
15.4,-72,20
15.6,-8,20
15.8,43,33
16,82,95
16.2,101,155
16.4,102,204
16.6,68,247
16.8,23,285
17,-48,275
17.2,-90,242
17.4,-113,176
17.6,-134,105
17.8,-116,23
18,-76,-51
18.2,-19,-77
18.4,47,-84
18.6,92,-73
18.8,131,-53
19,141,-7
19.2,124,17
19.4,80,39
19.6,17,27
19.8,-26,1
20,-68,-45
20.2,-102,-119
20.4,-99,-184
20.6,-72,-237
20.8,-27,-265
21,29,-278
21.2,85,-260
21.4,124,-206
21.6,138,-150
21.8,119,-90
22,97,-31
22.2,51,11
22.4,-24,28
22.6,-73,22
22.8,-93,6
23,-125,-28
23.2,-116,-57
23.4,-76,-81
23.6,-38,-84
23.8,25,-59
24,76,-21
24.2,92,54
24.4,102,126
24.6,77,184
24.8,42,242
25,1,256
25.2,-61,256
25.4,-103,225
25.6,-126,191
25.8,-123,132
26,-94,75
26.2,-50,38
26.4,5,28
26.6,58,31
26.8,92,48
27,111,93
27.2,114,125
27.4,89,136
27.6,38,151
27.8,-7,126
28,-69,80
28.2,-93,24
28.4,-101,-56
28.6,-82,-121
28.8,-58,-172
29,-2,-213
29.2,52,-224
29.4,93,-203
29.6,121,-176
29.8,118,-141
30,108,-88
30.2,66,-65
30.4,12,-47
30.6,-39,-45
30.8,-94,-76
31,-113,-112
31.2,-95,-148
31.4,-86,-182
31.6,-49,-199
31.8,10,-189
32,55,-147
32.2,90,-91
32.4,99,-29
32.6,87,43
32.8,67,103
33,17,151
33.2,-36,176
33.4,-83,175
33.6,-106,146
33.8,-114,112
34,-92,67
34.2,-64,45
34.4,-32,39
34.6,24,48
34.8,70,72
35,90,115
35.2,111,164
35.4,94,215
35.6,53,240
35.8,13,229
36,-32,228
36.2,-68,175
36.4,-90,97
36.6,-95,45
36.8,-82,-7
37,-33,-67
37.2,18,-97
37.4,55,-104
37.6,88,-95
37.8,102,-72
38,96,-37
38.2,73,-19
38.4,42,-6
38.6,-7,-24
38.8,-52,-51
39,-85,-97
39.2,-101,-148
39.4,-89,-192
39.6,-60,-224
39.8,-18,-245
40,22,-238
40.2,66,-214
40.4,91,-170
40.6,98,-108
40.8,75,-34
41,37,8
41.2,7,32
41.4,-44,31
41.6,-75,23
41.8,-100,20
42,-104,-7
42.2,-79,-23
42.4,-45,-33
42.6,6,-28
42.8,50,-2
43,79,48
43.2,95,107
43.4,96,159
43.6,76,199
43.8,47,234
44,-5,251
44.2,-51,237
44.4,-71,192
44.6,-83,147
44.8,-75,96
45,-38,52
45.2,-3,29
45.4,37,30
45.6,80,14
45.8,93,38
46,98,70
46.2,86,82
46.4,54,90
46.6,17,78
46.8,-27,60
47,-67,27
47.2,-84,-44
47.4,-89,-96
47.6,-76,-147
47.8,-47,-183
48,0,-207
48.2,29,-203
48.4,65,-192
48.6,82,-156
48.8,68,-118
49,48,-83
49.2,20,-56
49.4,-24,-48
49.6,-72,-56
49.8,-96,-77
50,-97,-95
50.2,-89,-115
50.4,-64,-147
50.6,-31,-141
50.8,4,-123
51,43,-88
51.2,77,-37
51.4,79,26
51.6,68,89
51.8,54,127
52,16,157
52.2,-20,174
52.4,-52,159
52.6,-61,136
52.8,-69,114
53,-49,83
53.2,-15,61
53.4,19,52
53.6,52,71
53.8,88,101
54,99,128
54.2,88,162
54.4,80,173
54.6,41,178
54.8,1,169
55,-34,150
55.2,-53,108
55.4,-68,44
55.6,-66,-10
55.8,-48,-47
56,-14,-87
56.2,22,-112
56.4,47,-110
56.6,75,-101
56.8,82,-82
57,52,-56
57.2,29,-48
57.4,0,-44
57.6,-42,-60
57.8,-64,-85
58,-92,-113
58.2,-101,-149
58.4,-75,-187
58.6,-56,-198
58.8,-28,-197
59,10,-188
59.2,45,-152
59.4,58,-108
59.6,58,-56
59.8,29,-10
60,12,18
60.2,-3,55
60.4,-43,55
60.6,-74,36
60.8,-76,32
61,-61,22
61.2,-45,16
61.4,-15,9
61.6,29,25
61.8,61,46
62,82,83
62.2,96,127
62.4,79,155
62.6,66,197
62.8,43,220
63,7,190
63.2,-25,183
63.4,-35,159
63.6,-41,106
63.8,-32,69
64,-2,32
64.2,14,13
64.4,44,-1
64.6,71,0
64.8,75,15
65,74,33
65.2,58,42
65.4,33,36
65.6,-9,24
65.8,-46,4
66,-60,-42
66.2,-80,-80
66.4,-80,-115
66.6,-67,-153
66.8,-44,-181
67,-16,-180
67.2,6,-178
67.4,32,-175
67.6,39,-142
67.8,18,-97
68,10,-72
68.2,-9,-50
68.4,-49,-38
68.6,-69,-57
68.8,-71,-60
69,-80,-65
69.2,-72,-84
69.4,-35,-80
69.6,-20,-72
69.8,23,-53
70,44,-19
70.2,57,16
70.4,71,52
70.6,62,98
70.8,36,135
71,17,147
71.2,-1,144
71.4,-17,141
71.6,-25,133
71.8,-14,104
72,1,75
72.2,27,72
72.4,41,65
72.6,71,64
72.8,82,88
73,86,97
73.2,86,120
73.4,62,129
73.6,31,129
73.8,7,111
74,-27,78
74.2,-33,45
74.4,-40,3
74.6,-43,-36
74.8,-29,-68
75,-7,-98
75.2,0,-109
75.4,13,-94
75.6,27,-101
75.8,16,-90
76,0,-85
76.2,-22,-65
76.4,-48,-60
76.6,-53,-76
76.8,-77,-88
77,-91,-116
77.2,-86,-136
77.4,-76,-135
77.6,-58,-148
77.8,-27,-149
78,0,-120
78.2,5,-100
78.4,19,-60
78.6,19,-18
78.8,19,16
79,6,43
79.2,-12,51
79.4,-23,59
79.6,-33,65
79.8,-32,54
80,-14,45
80.2,9,37
80.4,22,37
80.6,49,55
80.8,67,76
81,69,89
81.2,80,120
81.4,77,146
81.6,60,153
81.8,43,158
82,29,152
82.2,9,131
82.4,-3,98
82.6,-6,68
82.8,1,39
83,10,12
83.2,20,7
83.4,40,4
83.6,49,-9
83.8,45,-14
84,25,-6
84.2,12,-14
84.4,-7,-13
84.6,-22,-28
84.8,-48,-37
85,-64,-54
85.2,-75,-94
85.4,-81,-120
85.6,-71,-134
85.8,-56,-143
86,-45,-135
86.2,-22,-132
86.4,-16,-130
86.6,-13,-104
86.8,-19,-73
87,-28,-63
87.2,-28,-38
87.4,-35,-31
87.6,-46,-40
87.8,-48,-23
88,-34,-28
88.2,-41,-28
88.4,-24,-20
88.6,4,-27
88.8,30,-7
89,38,25
89.2,49,57
89.4,64,84
89.6,54,95
89.8,50,113
90,45,131
90.2,26,127
90.4,17,131
90.6,16,111
90.8,22,94
91,34,94
91.2,40,77
91.4,51,70
91.6,67,68
91.8,65,66
92,70,71
92.2,61,76
92.4,40,75
92.6,22,65
92.8,5,45
93,-9,27
93.2,-24,7
93.4,-41,-27
93.6,-40,-53
93.8,-26,-67
94,-28,-93
94.2,-28,-105
94.4,-16,-93
94.6,-18,-94
94.8,-24,-99
95,-30,-76
95.2,-42,-70
95.4,-54,-73
95.6,-66,-75
95.8,-79,-92
96,-77,-96
96.2,-74,-96
96.4,-66,-90
96.6,-40,-93
96.8,-30,-83
97,-12,-59
97.2,5,-45
97.4,9,-18
97.6,11,6
97.8,16,29
98,17,36
98.2,11,48
98.4,8,59
98.6,10,63
98.8,12,66
99,21,59
99.2,34,65
99.4,51,74
99.6,59,71
99.8,73,86
100,84,97
100.2,85,102
100.4,77,105
100.6,64,113
100.8,47,115
101,37,99
101.2,26,85
101.4,18,64
101.6,11,32
101.8,12,12
102,9,-2
102.2,11,-10
102.4,17,-24
102.6,12,-29
102.8,10,-22
103,1,-29
103.2,-13,-34
103.4,-41,-45
103.6,-50,-55
103.8,-43,-68
104,-67,-82
104.2,-72,-94
104.4,-71,-104
104.6,-65,-109
104.8,-54,-110
105,-45,-100
105.2,-40,-95
105.4,-36,-77
105.6,-30,-79
105.8,-27,-65
106,-38,-37
106.2,-31,-23
106.4,-30,-26
106.6,-28,-26
106.8,-25,-10
107,-16,-5
107.2,2,6
107.4,16,5
107.6,27,18
107.8,43,30
108,51,36
108.2,54,70
108.4,63,87
108.6,57,92
108.8,58,101
109,62,101
109.2,50,95
109.4,54,95
109.6,59,89
109.8,47,77
110,48,67
110.2,55,55
110.4,49,63
110.6,52,50
110.8,42,36
111,45,56
111.2,26,33
111.4,22,11
111.6,11,23
111.8,-15,-2
112,-19,-22
112.2,-38,-37
112.4,-33,-41
112.6,-37,-66
112.8,-41,-81
113,-52,-75
113.2,-55,-78
113.4,-52,-90
113.6,-54,-83
113.8,-50,-84
114,-52,-84
114.2,-64,-71
114.4,-70,-80
114.6,-70,-64
114.8,-69,-60
115,-66,-67
115.2,-50,-60
115.4,-42,-53
115.6,-32,-47
115.8,-18,-37
116,0,-16
116.2,4,-1
116.4,12,6
116.6,16,11
116.8,26,33
117,31,46
117.2,38,62
117.4,40,65
117.6,36,58
117.8,47,63
118,58,69
118.2,58,69
118.4,61,76
118.6,74,80
118.8,71,79
119,70,72
119.2,70,72
119.4,61,75
119.6,65,82
119.8,48,70
120,29,40
120.2,25,38
120.4,25,28
120.6,9,3
120.8,-1,1
121,0,-10
121.2,-4,-25
121.4,-6,-39
121.6,-22,-35
121.8,-28,-45
122,-36,-50
122.2,-51,-49
122.4,-58,-59
122.6,-63,-56
122.8,-55,-65
123,-76,-77
123.2,-80,-78
123.4,-63,-77
123.6,-68,-73
123.8,-67,-76
124,-60,-76
124.2,-55,-64
124.4,-42,-56
124.6,-35,-47
124.8,-29,-32
125,-13,-29
125.2,-14,-18
125.4,-23,12
125.6,-9,17
125.8,12,10
126,18,23
126.2,27,29
126.4,22,39
126.6,35,42
126.8,66,55
127,51,62
127.2,62,64
127.4,81,72
127.6,69,74
127.8,68,74
128,66,73
128.2,70,77
128.4,70,60
128.6,57,51
128.8,46,44
129,45,46
129.2,49,45
129.4,43,34
129.6,35,24
129.8,17,25
130,10,17
130.2,2,-3
130.4,-8,-11
130.6,-20,-10
130.8,-29,-29
131,-33,-35
131.2,-43,-47
131.4,-56,-50
131.6,-51,-53
131.8,-57,-70
132,-58,-69
132.2,-62,-68
132.4,-75,-74
132.6,-68,-68
132.8,-61,-71
133,-59,-68
133.2,-56,-57
133.4,-56,-62
133.6,-60,-52
133.8,-49,-40
134,-46,-38
134.2,-39,-29
134.4,-24,-30
134.6,-13,-12
134.8,3,-4
135,19,-2
135.2,18,10
135.4,25,32
135.6,35,37
135.8,45,50
136,56,45
136.2,53,48
136.4,49,63
136.6,65,67
136.8,68,63
137,65,60
137.2,71,58
137.4,75,63
137.6,75,48
137.8,74,52
138,69,56
138.2,62,50
138.4,56,49
138.6,44,37
138.8,38,26
139,32,25
139.2,20,16
139.4,8,9
139.6,-5,-8
139.8,-14,-25
140,-25,-20
140.2,-25,-28
140.4,-36,-40
140.6,-42,-40
140.8,-48,-45
141,-61,-52
141.2,-60,-51
141.4,-71,-60
141.6,-71,-64
141.8,-76,-67
142,-84,-49
142.2,-65,-56
142.4,-60,-61
142.6,-64,-48
142.8,-61,-50
143,-49,-55
143.2,-42,-42
143.4,-46,-24
143.6,-36,-20
143.8,-18,-25
144,1,-3
144.2,5,14
144.4,20,7
144.6,26,11
144.8,31,25
145,35,31
145.2,44,38
145.4,60,52
145.6,64,46
145.8,63,49
146,71,52
146.2,70,58
146.4,64,55
146.6,66,53
146.8,70,56
147,79,63
147.2,72,55
147.4,67,50
147.6,53,44
147.8,52,38
148,49,36
148.2,30,24
148.4,16,7
148.6,5,4
148.8,0,3
149,-1,-17
149.2,-26,-23
149.4,-37,-25
149.6,-31,-29
149.8,-40,-28
150,-50,-34
150.2,-49,-53
150.4,-72,-49
150.6,-71,-54
150.8,-61,-47
151,-58,-56
151.2,-66,-56
151.4,-81,-48
151.6,-65,-50
151.8,-59,-54
152,-71,-53
152.2,-54,-42
152.4,-45,-32
152.6,-40,-29
152.8,-26,-27
153,-24,-12
153.2,-7,-15
153.4,-5,-10
153.6,3,14
153.8,9,16
154,24,31
154.2,36,30
154.4,44,24
154.6,52,35
154.8,59,37
155,69,42
155.2,71,48
155.4,70,45
155.6,78,44
155.8,85,48
156,73,46
156.2,73,44
156.4,65,45
156.6,62,47
156.8,57,47
157,55,41
157.2,44,32
157.4,35,24
157.6,31,2
157.8,12,4
158,6,6
158.2,-4,-2
158.4,-14,-3
158.6,-33,-12
158.8,-31,-25
159,-41,-30
159.2,-47,-33
159.4,-52,-43
159.6,-51,-44
159.8,-61,-39
160,-66,-50
160.2,-68,-45
160.4,-72,-46
160.6,-78,-45
160.8,-74,-51
161,-74,-45
161.2,-72,-34
161.4,-66,-48
161.6,-53,-32
161.8,-44,-27
162,-33,-30
162.2,-26,-18
162.4,-11,-16
162.6,1,-4
162.8,0,7
163,1,2
163.2,12,13
163.4,37,28
163.6,40,29
163.8,54,29
164,55,40
164.2,58,38
164.4,73,33
164.6,72,29
164.8,68,46
165,75,43
165.2,74,33
165.4,67,44
165.6,66,44
165.8,64,38
166,52,41
166.2,51,31
166.4,49,21
166.6,35,21
166.8,28,17
167,20,11
167.2,15,0
167.4,12,6
167.6,2,-8
167.8,-16,-20
168,-35,-10
168.2,-41,-17
168.4,-39,-30
168.6,-50,-23
168.8,-65,-20
169,-60,-40
169.2,-63,-43
169.4,-74,-37
169.6,-76,-38
169.8,-79,-33
170,-72,-38
170.2,-68,-36
170.4,-57,-42
170.6,-61,-38
170.8,-54,-24
171,-50,-24
171.2,-47,-27
171.4,-36,-15
171.6,-24,-15
171.8,-15,-1
172,-4,2
172.2,11,2
172.4,23,7
172.6,40,5
172.8,30,18
173,45,27
173.2,49,22
173.4,59,33
173.6,66,28
173.8,63,22
174,78,33
174.2,81,35
174.4,77,32
174.6,73,31
174.8,69,34
175,64,21
175.2,73,27
175.4,71,35
175.6,60,22
175.8,51,25
176,33,19
176.2,28,9
176.4,19,18
176.6,16,5
176.8,-1,-1
177,-23,-9
177.2,-27,-18
177.4,-30,-21
177.6,-45,-25
177.8,-49,-27
178,-60,-40
178.2,-70,-41
178.4,-56,-31
178.6,-64,-38
178.8,-72,-27
179,-65,-20
179.2,-63,-26
179.4,-70,-27
179.6,-72,-27
179.8,-68,-23
180,-58,-19
180.2,-60,-20
180.4,-53,-25
180.6,-39,-25
180.8,-27,-11
181,-12,-4
181.2,-13,-3
181.4,0,9
181.6,13,6
181.8,30,6
182,34,13
182.2,36,17
182.4,42,15
182.6,60,21
182.8,64,29
183,68,18
183.2,80,23
183.4,81,22
183.6,74,23
183.8,77,37
184,85,28
184.2,81,26
184.4,70,30
184.6,68,24
184.8,55,22
185,47,10
185.2,37,14
185.4,25,4
185.6,28,0
185.8,10,5
186,-9,-6
186.2,-7,-9
186.4,-10,-18
186.6,-14,-15
186.8,-32,-9
187,-47,-15
187.2,-47,-17
187.4,-63,-7
187.6,-66,-11
187.8,-74,-28
188,-83,-21
188.2,-80,-19
188.4,-80,-24
188.6,-72,-28
188.8,-70,-20
189,-59,-18
189.2,-59,-24
189.4,-56,-18
189.6,-55,-9
189.8,-42,-13
190,-30,-4
190.2,-34,-6
190.4,-13,-6
190.6,-14,-6
190.8,-3,6
191,16,7
191.2,24,-6
191.4,36,11
191.6,48,17
191.8,57,17
192,53,20
192.2,66,22
192.4,78,26
192.6,69,21
192.8,68,16
193,72,21
193.2,84,19
193.4,72,15
193.6,58,18
193.8,61,9
194,66,9
194.2,56,15
194.4,40,1
194.6,44,10
194.8,36,10
195,27,7
195.2,11,17
195.4,4,2
195.6,-15,-2
195.8,-21,2
196,-30,-7
196.2,-41,-23
196.4,-64,-15
196.6,-65,-18
196.8,-64,-29
197,-68,-18
197.2,-70,-14
197.4,-69,-5
197.6,-78,-3
197.8,-77,-12
198,-60,-18
