0,51.3037,62.3824
0.2,-23.5631,60.8714
0.4,-51.7258,32.826
0.6,-73.6258,5.04286
0.8,-67.6617,-22.8856
1,-39.0547,-56.0785
1.2,-9,-66
1.4,33,-63
1.6,66,-24
1.8,90,18
2,107,56
2.2,92,104
2.4,50,138
2.6,11,156
2.8,-31,152
3,-71,126
3.2,-98,92
3.4,-106,42
3.6,-95,-6
3.8,-58,-42
4,-13,-54
4.2,29,-53
4.4,67,-25
4.6,79,11
4.8,79,54
5,49,76
5.2,8,87
5.4,-28,88
5.6,-66,58
5.8,-103,14
6,-108,-32
6.2,-100,-85
6.4,-69,-125
6.6,-22,-148
6.8,14,-152
7,53,-128
7.2,82,-98
7.4,95,-61
7.6,82,-7
7.8,56,32
8,13,37
8.2,-26,35
8.4,-59,18
8.6,-82,-14
8.8,-85,-52
9,-63,-96
9.2,-33,-116
9.4,9,-112
9.6,55,-89
9.8,96,-53
10,104,-10
10.2,98,37
10.4,80,87
10.6,44,130
10.8,-6,141
11,-47,122
11.2,-75,104
11.4,-80,67
11.6,-76,18
11.8,-61,-21
12,-19,-29
12.2,23,-10
12.4,61,-7
12.6,81,20
12.8,80,57
13,73,99
13.2,45,128
13.4,-4,132
13.6,-37,118
13.8,-88,90
14,-104,40
14.2,-106,-15
14.4,-88,-49
14.6,-52,-85
14.8,-5,-107
15,29,-100
15.2,57,-81
15.4,82,-52
15.6,74,-25
15.8,49,24
16,24,36
16.2,-22,29
16.4,-66,16
16.6,-87,-14
16.8,-94,-50
17,-81,-98
17.2,-59,-135
17.4,-14,-148
17.6,25,-133
17.8,60,-112
18,85,-77
18.2,89,-30
18.4,82,26
18.6,50,57
18.8,13,80
19,-14,82
19.2,-51,68
19.4,-75,36
19.6,-79,-12
19.8,-64,-31
20,-29,-48
20.2,4,-43
20.4,50,-33
20.6,82,-5
20.8,99,45
21,86,88
21.2,59,113
21.4,23,143
21.6,-17,146
21.8,-43,132
22,-73,99
22.2,-89,48
22.4,-84,17
22.6,-59,-20
22.8,-20,-56
23,20,-69
23.2,55,-44
23.4,81,-20
23.6,83,12
23.8,71,46
24,32,62
24.2,7,64
24.4,-35,49
24.6,-66,26
24.8,-83,-5
25,-88,-53
25.2,-76,-98
25.4,-38,-121
25.6,1,-135
25.8,30,-127
26,68,-105
26.2,93,-76
26.4,77,-23
26.6,59,13
26.8,29,31
27,-7,39
27.2,-43,32
27.4,-69,8
27.6,-77,-28
27.8,-69,-53
28,-56,-79
28.2,-19,-83
28.4,25,-81
28.6,53,-53
28.8,77,-11
29,84,36
29.2,72,78
29.4,51,105
29.6,16,124
29.8,-27,124
30,-51,104
30.2,-75,77
30.4,-77,46
30.6,-53,5
30.8,-33,-11
31,0,-17
31.2,35,-17
31.4,58,10
31.6,75,30
31.8,78,60
32,65,88
32.2,23,103
32.4,-22,100
32.6,-48,81
32.8,-70,49
33,-80,3
33.2,-68,-43
33.4,-46,-79
33.6,-9,-88
33.8,33,-109
34,44,-103
34.2,64,-70
34.4,70,-47
34.6,62,-6
34.8,41,23
35,1,21
35.2,-35,9
35.4,-62,-6
35.6,-64,-36
35.8,-69,-67
36,-61,-100
36.2,-27,-110
36.4,3,-106
36.6,41,-106
36.8,68,-75
37,72,-35
37.2,72,6
37.4,59,49
37.6,22,68
37.8,-20,78
38,-47,82
38.2,-61,63
38.4,-72,23
38.6,-54,-5
38.8,-38,-20
39,-11,-25
